	0
0	অগ্রদানী
1	অধ্যাত্মশক্তি
2	অননুসরণ
3	অবলীলাক্রমে
4	অরুণরঞ্জিত
5	অর্চিত
6	অকৃষ্ণকায়
7	অতন্দ্রিত
8	অনুমৃত
9	অনুষদ
10	অনাহূত
11	অনুমৃতা
12	অন্তঃপট
13	অন্ত্যানুসরণ
14	অক্ষদণ্ড
15	অসংহার
16	অধর্ম
17	অর্থাৎ
18	অষ্টানব্বুই
19	অঙ্গসেবা
20	অলঙ্ঘন
21	অর্থদপ্তর
22	অত্যুচ্ছলিত
23	অশ্বারূঢ়
24	অত্যুচ্ছ্বাস
25	অপ্সরি
26	অমার্জনা
27	অখ্যাতিকলঙ্কিত
28	অনদ্যতন
29	অণুকণিকা
30	অধিদন্ত
31	অস্ট্রেলিয়া
32	অপচিন্তা
33	অমিতব্যয়িতা
34	অনাগমন
35	অনাচারিত
36	অস্ত্রগুরু
37	অতিসারী
38	অত্যাশ্চর্যকর
39	অসংবৃত
40	অত্বর
41	অতর্কিত
42	অসম্পন্ন
43	অধ্যাত্মদৃষ্টি
44	অ্যাম্বুলেন্স
45	অপপ্রয়োগ
46	অজিত
47	অত্যাপ্লুত
48	অবিবেচনাযোগ্য
49	অতীতকথন
50	অন্তঃপুরিকা
51	অনাচরণ
52	অবদান
53	অকার্য
54	অগ্রহণযোগ্য
55	অন্তর্নিহিত
56	অধৃত
57	অগ্রজিৎ
58	অস্তোদয়
59	অভিযোগ
60	অবগাহন
61	অঘোরপন্থা
62	অনাবশ্যক
63	অদরকার
64	অনুশোচ্য
65	অন্বর্থনামা
66	অপরিণীতা
67	অসংশ্লিষ্ট
68	অদূরনিক্ষেপ
69	অগ্রযায়ী
70	অত্যাশ্চর্য
71	অগ্রনেতা
72	অনৃতভাষিণী
73	অম্লান
74	অন্তর্দাহ
75	অর্থসমস্যা
76	অনর্গল
77	অপেক্ষা
78	অনুমেয়
79	অনন্তব্যাপিনী
80	অলডারম্যান
81	অদ্যাপি
82	অগ্নিষ্টোম
83	অনুক্রমণী
84	অজ্ঞাবাদিনী
85	অদ্রোহিতা
86	অ্যারিস্টোক্র্যাট
87	অনন্যব্রত
88	অন্বিত
89	অবশ্য
90	অনুজপ্রতিমাসু
91	অর্থকাম
92	অমূল
93	অগর্হিত
94	অবিচারিত
95	অনঙ্গমোহন
96	অনুতাপিনী
97	অসক্ত
98	অগ্ন্যুৎসারী
99	অঙ্গবিভাজন
100	অদ্যাবধি
101	অত্যুত্তমা
102	অভিযাচক
103	অমিতাক্ষর
104	অঘোষণ
105	অভ্যন্তরস্থ
106	অগ্রেদিধিষু
107	অংশগ্রহণ
108	অতিবৃদ্ধি
109	অভিযাচিকা
110	অনুরোধকারিণী
111	অনুভবসিদ্ধ
112	অত্যাচার
113	অকোপ
114	অকাঠিন্য
115	অদ্রাবক
116	অসম্ভূতি
117	অনিরাকরণীয়
118	অর্থান্তরিত
119	অষ্টসিদ্ধি
120	অনন্তনিদ্রাচ্ছন্ন
121	অমিশুক
122	অনুচারী
123	অ্যাটেনশন
124	অসাধু
125	অবাছাই
126	অজ্ঞত্ব
127	অপকারী
128	অপদেব
129	অ্যাসোসিয়েশন
130	অমানবোচিত
131	অজিন
132	অনীপ্সিত
133	অনুমাপক
134	অ্যাসিড
135	অকাতরে
136	অধিগমন
137	অঙ্গরঞ্জন
138	অনভিলষণীয়
139	অথির
140	অনুদ্ভিন্ন
141	অগ্নিরোধী
142	অতিনিদ্রা
143	অনুরাগশূন্য
144	অধ্যাদেশ
145	অনুলিখন
146	অনাহুত
147	অনতিদৈর্ঘ্য
148	অতিদর্প
149	অঘটনা
150	অনুসূচি
151	অহম্
152	অন্ত্রাশ্রিত
153	অন্যগত
154	অঙ্গুষ্ঠানা
155	অনুবাদক
156	অনুৎপাদিত
157	অশাসিত
158	অতিসর্জন
159	অনুল্লিখিত
160	অনুপযোগ
161	অকালকুসুম
162	অদম্য
163	অক্ষুভিত
164	অ্যাসিরীয়
165	অন্তর্গত
166	অপসর্পিত
167	অধিবাসিতা
168	অল্পবিদ্যা
169	অভ্যাসাবদ্ধ
170	অছিয়তনামা
171	অকৈতব
172	অভিরাম
173	অনার্স
174	অর্থপিশাচ
175	অক্ষরাশ্রিত
176	অতিমানী
177	অপমানজর্জর
178	অশুদ্ধ
179	অগভীর
180	অনন্যপর
181	অমূল্যায়িত
182	অর্ধাংশ
183	অপ্রযত্ন
184	অপপাঠ
185	অনির্বাচিত
186	অহোরাত্র
187	অনুলিপ্ত
188	অঙ্কশাস্ত্রীয়
189	অলব্ধকাম
190	অ্যান্ডিজ
191	অধ
192	অগ্রিম
193	অন্ধকারাবৃত
194	অত্বরা
195	অদীর্ঘ
